fold,model,condition,truth,prediction,count
pooled,G2,gray,Unisex,Men,223
pooled,G2,gray,Unisex,Unisex,385
pooled,G2,gray,Unisex,Women,93
pooled,G2,gray,Women,Boys,5
pooled,G2,gray,Women,Girls,35
pooled,G2,gray,Women,Men,501
pooled,G2,gray,Women,Unisex,56
pooled,G2,gray,Women,Women,4213
pooled,E6,clean,Boys,Boys,167
pooled,E6,clean,Boys,Girls,15
pooled,E6,clean,Boys,Men,55
pooled,E6,clean,Boys,Unisex,13
pooled,E6,clean,Boys,Women,24
pooled,E6,clean,Girls,Boys,34
pooled,E6,clean,Girls,Girls,109
pooled,E6,clean,Girls,Men,7
pooled,E6,clean,Girls,Unisex,15
pooled,E6,clean,Girls,Women,51
pooled,E6,clean,Men,Boys,32
pooled,E6,clean,Men,Girls,10
pooled,E6,clean,Men,Men,6717
pooled,E6,clean,Men,Unisex,89
pooled,E6,clean,Men,Women,254
pooled,E6,clean,Unisex,Boys,10
pooled,E6,clean,Unisex,Girls,10
pooled,E6,clean,Unisex,Men,196
pooled,E6,clean,Unisex,Unisex,370
pooled,E6,clean,Unisex,Women,122
pooled,E6,clean,Women,Boys,5
pooled,E6,clean,Women,Girls,35
pooled,E6,clean,Women,Men,383
pooled,E6,clean,Women,Unisex,57
pooled,E6,clean,Women,Women,4330
pooled,E6,gray,Boys,Boys,153
pooled,E6,gray,Boys,Girls,10
pooled,E6,gray,Boys,Men,77
pooled,E6,gray,Boys,Unisex,10
pooled,E6,gray,Boys,Women,24
pooled,E6,gray,Girls,Boys,41
pooled,E6,gray,Girls,Girls,75
pooled,E6,gray,Girls,Men,37
pooled,E6,gray,Girls,Unisex,17
pooled,E6,gray,Girls,Women,46
pooled,E6,gray,Men,Boys,25
pooled,E6,gray,Men,Girls,6
pooled,E6,gray,Men,Men,6778
pooled,E6,gray,Men,Unisex,82
pooled,E6,gray,Men,Women,211
pooled,E6,gray,Unisex,Boys,8
pooled,E6,gray,Unisex,Men,229
pooled,E6,gray,Unisex,Unisex,357
pooled,E6,gray,Unisex,Women,114
pooled,E6,gray,Women,Boys,8
pooled,E6,gray,Women,Girls,27
pooled,E6,gray,Women,Men,578
pooled,E6,gray,Women,Unisex,58
pooled,E6,gray,Women,Women,4139
0,D30,clean,Boys,Boys,85
0,D30,clean,Boys,Girls,8
0,D30,clean,Boys,Men,27
0,D30,clean,Boys,Unisex,7
0,D30,clean,Boys,Women,9
0,D30,clean,Girls,Boys,8
0,D30,clean,Girls,Girls,72
0,D30,clean,Girls,Men,3
0,D30,clean,Girls,Unisex,5
0,D30,clean,Girls,Women,19
0,D30,clean,Men,Boys,15
0,D30,clean,Men,Girls,3
0,D30,clean,Men,Men,3385
0,D30,clean,Men,Unisex,35
0,D30,clean,Men,Women,112
0,D30,clean,Unisex,Boys,5
0,D30,clean,Unisex,Girls,5
0,D30,clean,Unisex,Men,111
0,D30,clean,Unisex,Unisex,175
0,D30,clean,Unisex,Women,59
0,D30,clean,Women,Boys,2
0,D30,clean,Women,Girls,25
0,D30,clean,Women,Men,157
0,D30,clean,Women,Unisex,17
0,D30,clean,Women,Women,2204
0,D30,gray,Boys,Boys,74
0,D30,gray,Boys,Girls,3
0,D30,gray,Boys,Men,41
0,D30,gray,Boys,Unisex,4
0,D30,gray,Boys,Women,14
0,D30,gray,Girls,Boys,14
0,D30,gray,Girls,Girls,30
0,D30,gray,Girls,Men,24
0,D30,gray,Girls,Unisex,5
0,D30,gray,Girls,Women,34
0,D30,gray,Men,Boys,8
0,D30,gray,Men,Girls,4
0,D30,gray,Men,Men,3413
0,D30,gray,Men,Unisex,31
0,D30,gray,Men,Women,94
0,D30,gray,Unisex,Boys,3
0,D30,gray,Unisex,Men,131
0,D30,gray,Unisex,Unisex,169
0,D30,gray,Unisex,Women,52
0,D30,gray,Women,Boys,5
0,D30,gray,Women,Girls,16
0,D30,gray,Women,Men,291
0,D30,gray,Women,Unisex,18
0,D30,gray,Women,Women,2075
0,D45,clean,Boys,Boys,79
0,D45,clean,Boys,Girls,6
0,D45,clean,Boys,Men,32
0,D45,clean,Boys,Unisex,11
0,D45,clean,Boys,Women,8
0,D45,clean,Girls,Boys,14
0,D45,clean,Girls,Girls,61
0,D45,clean,Girls,Men,1
0,D45,clean,Girls,Unisex,5
0,D45,clean,Girls,Women,26
0,D45,clean,Men,Boys,18
0,D45,clean,Men,Girls,2
0,D45,clean,Men,Men,3373
0,D45,clean,Men,Unisex,31
0,D45,clean,Men,Women,126
0,D45,clean,Unisex,Boys,5
0,D45,clean,Unisex,Girls,6
0,D45,clean,Unisex,Men,112
0,D45,clean,Unisex,Unisex,180
0,D45,clean,Unisex,Women,52
0,D45,clean,Women,Boys,5
0,D45,clean,Women,Girls,23
0,D45,clean,Women,Men,155
0,D45,clean,Women,Unisex,20
0,D45,clean,Women,Women,2202
0,D45,gray,Boys,Boys,70
0,D45,gray,Boys,Girls,3
0,D45,gray,Boys,Men,47
0,D45,gray,Boys,Unisex,4
0,D45,gray,Boys,Women,12
0,D45,gray,Girls,Boys,15
0,D45,gray,Girls,Girls,30
0,D45,gray,Girls,Men,28
0,D45,gray,Girls,Unisex,5
0,D45,gray,Girls,Women,29
0,D45,gray,Men,Boys,11
0,D45,gray,Men,Girls,3
0,D45,gray,Men,Men,3408
0,D45,gray,Men,Unisex,29
0,D45,gray,Men,Women,99
0,D45,gray,Unisex,Boys,3
0,D45,gray,Unisex,Men,138
0,D45,gray,Unisex,Unisex,168
0,D45,gray,Unisex,Women,46
0,D45,gray,Women,Boys,6
0,D45,gray,Women,Girls,16
0,D45,gray,Women,Men,302
0,D45,gray,Women,Unisex,19
0,D45,gray,Women,Women,2062
0,G2,clean,Boys,Boys,88
0,G2,clean,Boys,Girls,5
0,G2,clean,Boys,Men,26
0,G2,clean,Boys,Unisex,8
0,G2,clean,Boys,Women,9
0,G2,clean,Girls,Boys,7
0,G2,clean,Girls,Girls,70
0,G2,clean,Girls,Men,4
0,G2,clean,Girls,Unisex,4
0,G2,clean,Girls,Women,22
0,G2,clean,Men,Boys,16
0,G2,clean,Men,Girls,6
0,G2,clean,Men,Men,3380
0,G2,clean,Men,Unisex,34
0,G2,clean,Men,Women,114
0,G2,clean,Unisex,Boys,4
0,G2,clean,Unisex,Girls,5
0,G2,clean,Unisex,Men,108
0,G2,clean,Unisex,Unisex,186
0,G2,clean,Unisex,Women,52
0,G2,clean,Women,Boys,1
0,G2,clean,Women,Girls,24
0,G2,clean,Women,Men,165
0,G2,clean,Women,Unisex,23
0,G2,clean,Women,Women,2192
0,G2,gray,Boys,Boys,87
0,G2,gray,Boys,Girls,3
0,G2,gray,Boys,Men,31
0,G2,gray,Boys,Unisex,2
0,G2,gray,Boys,Women,13
0,G2,gray,Girls,Boys,15
0,G2,gray,Girls,Girls,33
0,G2,gray,Girls,Men,22
0,G2,gray,Girls,Unisex,4
0,G2,gray,Girls,Women,33
0,G2,gray,Men,Boys,11
0,G2,gray,Men,Girls,5
0,G2,gray,Men,Men,3410
0,G2,gray,Men,Unisex,32
0,G2,gray,Men,Women,92
0,G2,gray,Unisex,Boys,3
0,G2,gray,Unisex,Men,119
0,G2,gray,Unisex,Unisex,185
0,G2,gray,Unisex,Women,48
0,G2,gray,Women,Boys,2
0,G2,gray,Women,Girls,19
0,G2,gray,Women,Men,263
0,G2,gray,Women,Unisex,23
0,G2,gray,Women,Women,2098
0,E6,clean,Boys,Boys,80
0,E6,clean,Boys,Girls,10
0,E6,clean,Boys,Men,27
0,E6,clean,Boys,Unisex,7
0,E6,clean,Boys,Women,12
0,E6,clean,Girls,Boys,14
0,E6,clean,Girls,Girls,55
0,E6,clean,Girls,Men,5
0,E6,clean,Girls,Unisex,7
0,E6,clean,Girls,Women,26
0,E6,clean,Men,Boys,18
0,E6,clean,Men,Girls,3
0,E6,clean,Men,Men,3352
0,E6,clean,Men,Unisex,37
0,E6,clean,Men,Women,140
0,E6,clean,Unisex,Boys,4
0,E6,clean,Unisex,Girls,4
0,E6,clean,Unisex,Men,100
0,E6,clean,Unisex,Unisex,186
0,E6,clean,Unisex,Women,61
0,E6,clean,Women,Boys,3
0,E6,clean,Women,Girls,23
0,E6,clean,Women,Men,197
0,E6,clean,Women,Unisex,27
0,E6,clean,Women,Women,2155
0,E6,gray,Boys,Boys,73
0,E6,gray,Boys,Girls,6
0,E6,gray,Boys,Men,41
0,E6,gray,Boys,Unisex,4
0,E6,gray,Boys,Women,12
0,E6,gray,Girls,Boys,15
0,E6,gray,Girls,Girls,35
0,E6,gray,Girls,Men,22
0,E6,gray,Girls,Unisex,8
0,E6,gray,Girls,Women,27
0,E6,gray,Men,Boys,8
0,E6,gray,Men,Girls,5
0,E6,gray,Men,Men,3393
0,E6,gray,Men,Unisex,32
0,E6,gray,Men,Women,112
0,E6,gray,Unisex,Boys,1
0,E6,gray,Unisex,Men,120
0,E6,gray,Unisex,Unisex,178
0,E6,gray,Unisex,Women,56
0,E6,gray,Women,Boys,4
0,E6,gray,Women,Girls,20
0,E6,gray,Women,Men,304
0,E6,gray,Women,Unisex,25
0,E6,gray,Women,Women,2052
4,D30,clean,Boys,Boys,95
4,D30,clean,Boys,Girls,11
4,D30,clean,Boys,Men,20
4,D30,clean,Boys,Unisex,6
4,D30,clean,Boys,Women,6
4,D30,clean,Girls,Boys,19
4,D30,clean,Girls,Girls,53
4,D30,clean,Girls,Men,4
4,D30,clean,Girls,Unisex,7
4,D30,clean,Girls,Women,26
4,D30,clean,Men,Boys,22
4,D30,clean,Men,Girls,8
4,D30,clean,Men,Men,3370
4,D30,clean,Men,Unisex,59
4,D30,clean,Men,Women,93
4,D30,clean,Unisex,Boys,7
4,D30,clean,Unisex,Girls,5
4,D30,clean,Unisex,Men,93
4,D30,clean,Unisex,Unisex,190
4,D30,clean,Unisex,Women,58
4,D30,clean,Women,Boys,4
4,D30,clean,Women,Girls,14
4,D30,clean,Women,Men,160
4,D30,clean,Women,Unisex,28
4,D30,clean,Women,Women,2199
4,D30,gray,Boys,Boys,85
4,D30,gray,Boys,Girls,4
4,D30,gray,Boys,Men,33
4,D30,gray,Boys,Unisex,5
4,D30,gray,Boys,Women,11
4,D30,gray,Girls,Boys,29
4,D30,gray,Girls,Girls,30
4,D30,gray,Girls,Men,21
4,D30,gray,Girls,Unisex,9
4,D30,gray,Girls,Women,20
4,D30,gray,Men,Boys,21
4,D30,gray,Men,Men,3407
4,D30,gray,Men,Unisex,52
4,D30,gray,Men,Women,72
4,D30,gray,Unisex,Boys,4
4,D30,gray,Unisex,Men,111
4,D30,gray,Unisex,Unisex,192
4,D30,gray,Unisex,Women,46
4,D30,gray,Women,Boys,5
4,D30,gray,Women,Girls,13
4,D30,gray,Women,Men,280
4,D30,gray,Women,Unisex,29
4,D30,gray,Women,Women,2078
4,D45,clean,Boys,Boys,93
4,D45,clean,Boys,Girls,7
4,D45,clean,Boys,Men,19
4,D45,clean,Boys,Unisex,9
4,D45,clean,Boys,Women,10
4,D45,clean,Girls,Boys,17
4,D45,clean,Girls,Girls,56
4,D45,clean,Girls,Men,10
4,D45,clean,Girls,Unisex,7
4,D45,clean,Girls,Women,19
4,D45,clean,Men,Boys,21
4,D45,clean,Men,Girls,7
4,D45,clean,Men,Men,3357
4,D45,clean,Men,Unisex,59
4,D45,clean,Men,Women,108
4,D45,clean,Unisex,Boys,10
4,D45,clean,Unisex,Girls,5
4,D45,clean,Unisex,Men,94
4,D45,clean,Unisex,Unisex,189
4,D45,clean,Unisex,Women,55
4,D45,clean,Women,Boys,2
4,D45,clean,Women,Girls,20
4,D45,clean,Women,Men,177
4,D45,clean,Women,Unisex,30
4,D45,clean,Women,Women,2176
4,D45,gray,Boys,Boys,77
4,D45,gray,Boys,Girls,4
4,D45,gray,Boys,Men,45
4,D45,gray,Boys,Unisex,4
4,D45,gray,Boys,Women,8
4,D45,gray,Girls,Boys,25
4,D45,gray,Girls,Girls,35
4,D45,gray,Girls,Men,11
4,D45,gray,Girls,Unisex,8
4,D45,gray,Girls,Women,30
4,D45,gray,Men,Boys,22
4,D45,gray,Men,Men,3415
4,D45,gray,Men,Unisex,42
4,D45,gray,Men,Women,73
4,D45,gray,Unisex,Boys,3
4,D45,gray,Unisex,Men,120
4,D45,gray,Unisex,Unisex,178
4,D45,gray,Unisex,Women,52
4,D45,gray,Women,Boys,4
4,D45,gray,Women,Girls,13
4,D45,gray,Women,Men,343
4,D45,gray,Women,Unisex,32
4,D45,gray,Women,Women,2013
4,G2,clean,Boys,Boys,94
4,G2,clean,Boys,Girls,6
4,G2,clean,Boys,Men,15
4,G2,clean,Boys,Unisex,12
4,G2,clean,Boys,Women,11
4,G2,clean,Girls,Boys,24
4,G2,clean,Girls,Girls,52
4,G2,clean,Girls,Men,2
4,G2,clean,Girls,Unisex,7
4,G2,clean,Girls,Women,24
4,G2,clean,Men,Boys,21
4,G2,clean,Men,Girls,4
4,G2,clean,Men,Men,3374
4,G2,clean,Men,Unisex,57
4,G2,clean,Men,Women,96
4,G2,clean,Unisex,Boys,10
4,G2,clean,Unisex,Girls,6
4,G2,clean,Unisex,Men,94
4,G2,clean,Unisex,Unisex,197
4,G2,clean,Unisex,Women,46
4,G2,clean,Women,Boys,3
4,G2,clean,Women,Girls,14
4,G2,clean,Women,Men,149
4,G2,clean,Women,Unisex,32
4,G2,clean,Women,Women,2207
4,G2,gray,Boys,Boys,73
4,G2,gray,Boys,Girls,7
4,G2,gray,Boys,Men,36
4,G2,gray,Boys,Unisex,6
4,G2,gray,Boys,Women,16
4,G2,gray,Girls,Boys,26
4,G2,gray,Girls,Girls,41
4,G2,gray,Girls,Men,9
4,G2,gray,Girls,Unisex,8
4,G2,gray,Girls,Women,25
4,G2,gray,Men,Boys,22
4,G2,gray,Men,Girls,2
4,G2,gray,Men,Men,3389
4,G2,gray,Men,Unisex,53
4,G2,gray,Men,Women,86
4,G2,gray,Unisex,Boys,4
4,G2,gray,Unisex,Men,104
4,G2,gray,Unisex,Unisex,200
4,G2,gray,Unisex,Women,45
4,G2,gray,Women,Boys,3
4,G2,gray,Women,Girls,16
4,G2,gray,Women,Men,238
4,G2,gray,Women,Unisex,33
4,G2,gray,Women,Women,2115
4,E6,clean,Boys,Boys,87
4,E6,clean,Boys,Girls,5
4,E6,clean,Boys,Men,28
4,E6,clean,Boys,Unisex,6
4,E6,clean,Boys,Women,12
4,E6,clean,Girls,Boys,20
4,E6,clean,Girls,Girls,54
4,E6,clean,Girls,Men,2
4,E6,clean,Girls,Unisex,8
4,E6,clean,Girls,Women,25
4,E6,clean,Men,Boys,14
4,E6,clean,Men,Girls,7
4,E6,clean,Men,Men,3365
4,E6,clean,Men,Unisex,52
4,E6,clean,Men,Women,114
4,E6,clean,Unisex,Boys,6
4,E6,clean,Unisex,Girls,6
4,E6,clean,Unisex,Men,96
4,E6,clean,Unisex,Unisex,184
4,E6,clean,Unisex,Women,61
4,E6,clean,Women,Boys,2
4,E6,clean,Women,Girls,12
4,E6,clean,Women,Men,186
4,E6,clean,Women,Unisex,30
4,E6,clean,Women,Women,2175
4,E6,gray,Boys,Boys,80
4,E6,gray,Boys,Girls,4
4,E6,gray,Boys,Men,36
4,E6,gray,Boys,Unisex,6
4,E6,gray,Boys,Women,12
4,E6,gray,Girls,Boys,26
4,E6,gray,Girls,Girls,40
4,E6,gray,Girls,Men,15
4,E6,gray,Girls,Unisex,9
4,E6,gray,Girls,Women,19
4,E6,gray,Men,Boys,17
4,E6,gray,Men,Girls,1
4,E6,gray,Men,Men,3385
4,E6,gray,Men,Unisex,50
4,E6,gray,Men,Women,99
4,E6,gray,Unisex,Boys,7
4,E6,gray,Unisex,Men,109
4,E6,gray,Unisex,Unisex,179
4,E6,gray,Unisex,Women,58
4,E6,gray,Women,Boys,4
4,E6,gray,Women,Girls,7
4,E6,gray,Women,Men,274
4,E6,gray,Women,Unisex,33
4,E6,gray,Women,Women,2087
