model,fold,partition,dimensions,slice,rows,families,accuracy
G2,0,train,articleType,Kurtis,139,108,1.0
G2,0,train,articleType,Laptop Bag,55,39,0.9272727272727272
G2,0,train,articleType,Leggings,109,91,1.0
G2,0,train,articleType,Lehenga Choli,2,2,1.0
G2,0,train,articleType,Lip Gloss,4,4,1.0
G2,0,train,articleType,Lip Liner,9,6,1.0
G2,0,train,articleType,Lip Plumper,2,2,1.0
G2,0,train,articleType,Lipstick,10,2,1.0
G2,0,train,articleType,Lounge Pants,36,33,1.0
G2,0,train,articleType,Lounge Shorts,23,18,1.0
G2,0,train,articleType,Lounge Tshirts,1,1,1.0
G2,0,train,articleType,Messenger Bag,30,29,1.0
G2,0,train,articleType,Mobile Pouch,32,31,1.0
G2,0,train,articleType,Mufflers,26,22,1.0
G2,0,train,articleType,Nail Polish,12,11,1.0
G2,0,train,articleType,Necklace and Chains,43,29,1.0
G2,0,train,articleType,Nehru Jackets,4,3,1.0
G2,0,train,articleType,Night suits,48,26,1.0
G2,0,train,articleType,Nightdress,27,21,1.0
G2,0,train,articleType,Patiala,19,16,1.0
G2,0,train,articleType,Pendant,100,7,1.0
G2,0,train,articleType,Perfume and Body Mist,379,323,0.9947229551451188
G2,0,train,articleType,Rain Jacket,1,1,1.0
G2,0,train,articleType,Rain Trousers,1,1,1.0
G2,0,train,articleType,Ring,79,4,1.0
G2,0,train,articleType,Robe,2,2,1.0
G2,0,train,articleType,Rompers,8,6,1.0
G2,0,train,articleType,Rucksacks,8,8,1.0
G2,0,train,articleType,Salwar,23,20,1.0
G2,0,train,articleType,Salwar and Dupatta,5,5,1.0
G2,0,train,articleType,Sandals,589,394,1.0
G2,0,train,articleType,Sarees,104,84,1.0
G2,0,train,articleType,Scarves,75,59,1.0
G2,0,train,articleType,Shapewear,2,2,1.0
G2,0,train,articleType,Shirts,2091,1223,1.0
G2,0,train,articleType,Shoe Accessories,16,14,1.0
G2,0,train,articleType,Shoe Laces,1,1,1.0
G2,0,train,articleType,Shorts,359,277,0.9972144846796658
G2,0,train,articleType,Shrug,2,2,1.0
G2,0,train,articleType,Skirts,80,65,1.0
G2,0,train,articleType,Socks,418,238,0.992822966507177
G2,0,train,articleType,Sports Sandals,44,43,1.0
G2,0,train,articleType,Sports Shoes,1352,1233,0.9933431952662722
G2,0,train,articleType,Stockings,14,9,1.0
G2,0,train,articleType,Stoles,62,41,1.0
G2,0,train,articleType,Sunglasses,711,340,0.9971870604781997
G2,0,train,articleType,Suspenders,28,14,1.0
G2,0,train,articleType,Sweaters,188,159,1.0
G2,0,train,articleType,Sweatshirts,191,163,0.9947643979057592
G2,0,train,articleType,Swimwear,12,12,1.0
G2,0,train,articleType,Tablet Sleeve,2,2,0.5
G2,0,train,articleType,Ties,145,68,1.0
G2,0,train,articleType,Tights,6,5,1.0
G2,0,train,articleType,Tops,1095,771,0.9981735159817352
G2,0,train,articleType,Track Pants,200,161,0.995
G2,0,train,articleType,Tracksuits,19,15,1.0
G2,0,train,articleType,Travel Accessory,9,9,1.0
G2,0,train,articleType,Trolley Bag,3,2,1.0
G2,0,train,articleType,Trousers,350,224,1.0
G2,0,train,articleType,Trunk,96,69,1.0
G2,0,train,articleType,Tshirts,4597,3677,0.999564933652382
G2,0,train,articleType,Tunics,120,106,1.0
G2,0,train,articleType,Umbrellas,4,3,1.0
G2,0,train,articleType,Waist Pouch,12,12,1.0
G2,0,train,articleType,Waistcoat,9,8,1.0
G2,0,train,articleType,Wallets,565,339,0.9805309734513274
G2,0,train,articleType,Watches,1523,1050,0.9934340118187788
G2,0,train,articleType,Water Bottle,8,8,1.0
G2,0,train,articleType,Wristbands,4,4,1.0
G2,0,train,family_size_bin,1,15250,15250,0.9958688524590164
G2,0,train,family_size_bin,2-3,5020,2241,0.998406374501992
G2,0,train,family_size_bin,4+,5950,850,0.9983193277310924
G2,0,train,gender x articleType,Boys | Blazers,1,1,1.0
G2,0,train,gender x articleType,Boys | Booties,3,2,1.0
G2,0,train,gender x articleType,Boys | Capris,9,2,1.0
G2,0,train,gender x articleType,Boys | Casual Shoes,17,14,0.9411764705882353
G2,0,train,gender x articleType,Boys | Churidar,1,1,1.0
G2,0,train,gender x articleType,Boys | Clothing Set,4,4,1.0
G2,0,train,gender x articleType,Boys | Flip Flops,11,10,1.0
G2,0,train,gender x articleType,Boys | Gloves,4,2,0.75
G2,0,train,gender x articleType,Boys | Innerwear Vests,3,1,1.0
G2,0,train,gender x articleType,Boys | Jackets,2,1,1.0
G2,0,train,gender x articleType,Boys | Jeans,21,8,1.0
G2,0,train,gender x articleType,Boys | Kurta Sets,2,2,1.0
G2,0,train,gender x articleType,Boys | Kurtas,5,4,1.0
G2,0,train,gender x articleType,Boys | Leggings,3,3,1.0
G2,0,train,gender x articleType,Boys | Rompers,4,3,1.0
G2,0,train,gender x articleType,Boys | Sandals,8,6,1.0
G2,0,train,gender x articleType,Boys | Shirts,52,22,1.0
G2,0,train,gender x articleType,Boys | Shorts,39,22,0.9743589743589743
G2,0,train,gender x articleType,Boys | Socks,1,1,1.0
G2,0,train,gender x articleType,Boys | Sports Shoes,2,2,1.0
G2,0,train,gender x articleType,Boys | Sweatshirts,1,1,1.0
G2,0,train,gender x articleType,Boys | Trousers,2,2,1.0
G2,0,train,gender x articleType,Boys | Tshirts,346,198,0.9971098265895953
G2,0,train,gender x articleType,Boys | Waistcoat,2,2,1.0
G2,0,train,gender x articleType,Boys | Watches,5,5,1.0
G2,0,train,gender x articleType,Girls | Backpacks,1,1,0.0
G2,0,train,gender x articleType,Girls | Booties,4,2,1.0
G2,0,train,gender x articleType,Girls | Capris,21,11,1.0
G2,0,train,gender x articleType,Girls | Casual Shoes,8,8,1.0
G2,0,train,gender x articleType,Girls | Clothing Set,2,2,1.0
G2,0,train,gender x articleType,Girls | Dresses,42,28,1.0
G2,0,train,gender x articleType,Girls | Earrings,1,1,0.0
G2,0,train,gender x articleType,Girls | Flip Flops,6,5,1.0
G2,0,train,gender x articleType,Girls | Gloves,4,2,1.0
G2,0,train,gender x articleType,Girls | Innerwear Vests,3,2,1.0
G2,0,train,gender x articleType,Girls | Jeans,12,4,1.0
G2,0,train,gender x articleType,Girls | Leggings,15,7,1.0
G2,0,train,gender x articleType,Girls | Lehenga Choli,2,2,1.0
G2,0,train,gender x articleType,Girls | Rompers,4,3,1.0
G2,0,train,gender x articleType,Girls | Salwar,4,4,1.0
G2,0,train,gender x articleType,Girls | Sandals,31,25,1.0
G2,0,train,gender x articleType,Girls | Shirts,1,1,1.0
G2,0,train,gender x articleType,Girls | Shorts,25,14,1.0
G2,0,train,gender x articleType,Girls | Skirts,16,8,1.0
G2,0,train,gender x articleType,Girls | Tops,154,78,0.9935064935064936
G2,0,train,gender x articleType,Girls | Tshirts,72,56,1.0
G2,0,train,gender x articleType,Girls | Watches,8,2,1.0
G2,0,train,gender x articleType,Men | Accessory Gift Set,74,26,1.0
G2,0,train,gender x articleType,Men | Backpacks,36,23,0.8888888888888888
G2,0,train,gender x articleType,Men | Bangle,14,2,1.0
G2,0,train,gender x articleType,Men | Belts,359,193,1.0
G2,0,train,gender x articleType,Men | Blazers,4,4,1.0
G2,0,train,gender x articleType,Men | Body Wash and Scrub,1,1,1.0
G2,0,train,gender x articleType,Men | Boxers,27,22,1.0
G2,0,train,gender x articleType,Men | Briefs,349,251,1.0
G2,0,train,gender x articleType,Men | Caps,74,61,0.9864864864864865
G2,0,train,gender x articleType,Men | Casual Shoes,1432,1051,0.9993016759776536
G2,0,train,gender x articleType,Men | Churidar,6,5,1.0
G2,0,train,gender x articleType,Men | Cufflinks,25,16,1.0
G2,0,train,gender x articleType,Men | Deodorant,124,110,1.0
G2,0,train,gender x articleType,Men | Duffel Bag,1,1,1.0
G2,0,train,gender x articleType,Men | Flip Flops,323,282,1.0
G2,0,train,gender x articleType,Men | Formal Shoes,414,180,1.0
G2,0,train,gender x articleType,Men | Fragrance Gift Set,20,19,1.0
G2,0,train,gender x articleType,Men | Free Gifts,26,18,1.0
G2,0,train,gender x articleType,Men | Gloves,6,6,1.0
G2,0,train,gender x articleType,Men | Handbags,1,1,1.0
G2,0,train,gender x articleType,Men | Heels,1,1,1.0
G2,0,train,gender x articleType,Men | Innerwear Vests,158,125,1.0
G2,0,train,gender x articleType,Men | Jackets,120,105,1.0
G2,0,train,gender x articleType,Men | Jeans,207,98,1.0
G2,0,train,gender x articleType,Men | Kurtas,45,34,1.0
G2,0,train,gender x articleType,Men | Kurtis,2,2,1.0
G2,0,train,gender x articleType,Men | Laptop Bag,12,8,0.8333333333333334
G2,0,train,gender x articleType,Men | Lounge Pants,22,20,1.0
G2,0,train,gender x articleType,Men | Lounge Shorts,16,12,1.0
G2,0,train,gender x articleType,Men | Messenger Bag,9,9,1.0
G2,0,train,gender x articleType,Men | Mufflers,22,19,1.0
G2,0,train,gender x articleType,Men | Nehru Jackets,4,3,1.0
G2,0,train,gender x articleType,Men | Night suits,10,6,1.0
G2,0,train,gender x articleType,Men | Perfume and Body Mist,212,182,0.9952830188679245
G2,0,train,gender x articleType,Men | Rain Trousers,1,1,1.0
G2,0,train,gender x articleType,Men | Ring,25,1,1.0
G2,0,train,gender x articleType,Men | Sandals,486,305,1.0
G2,0,train,gender x articleType,Men | Scarves,27,20,1.0
G2,0,train,gender x articleType,Men | Shirts,1852,1040,1.0
G2,0,train,gender x articleType,Men | Shoe Accessories,2,2,1.0
G2,0,train,gender x articleType,Men | Shorts,251,200,1.0
G2,0,train,gender x articleType,Men | Socks,316,160,1.0
G2,0,train,gender x articleType,Men | Sports Sandals,18,17,1.0
G2,0,train,gender x articleType,Men | Sports Shoes,1057,954,0.9990539262062441
G2,0,train,gender x articleType,Men | Sunglasses,412,164,0.9975728155339806
G2,0,train,gender x articleType,Men | Suspenders,28,14,1.0
G2,0,train,gender x articleType,Men | Sweaters,134,111,1.0
G2,0,train,gender x articleType,Men | Sweatshirts,149,123,1.0
G2,0,train,gender x articleType,Men | Ties,145,68,1.0
G2,0,train,gender x articleType,Men | Tights,1,1,1.0
G2,0,train,gender x articleType,Men | Tops,1,1,1.0
G2,0,train,gender x articleType,Men | Track Pants,141,107,1.0
G2,0,train,gender x articleType,Men | Tracksuits,19,15,1.0
G2,0,train,gender x articleType,Men | Trousers,282,169,1.0
G2,0,train,gender x articleType,Men | Trunk,96,69,1.0
G2,0,train,gender x articleType,Men | Tshirts,3449,2778,1.0
G2,0,train,gender x articleType,Men | Tunics,1,1,1.0
G2,0,train,gender x articleType,Men | Waist Pouch,1,1,1.0
G2,0,train,gender x articleType,Men | Waistcoat,5,4,1.0
G2,0,train,gender x articleType,Men | Wallets,277,127,0.9927797833935018
G2,0,train,gender x articleType,Men | Watches,869,564,0.997698504027618
G2,0,train,gender x articleType,Men | Water Bottle,2,2,1.0
G2,0,train,gender x articleType,Unisex | Backpacks,421,296,0.997624703087886
G2,0,train,gender x articleType,Unisex | Basketballs,9,9,1.0
G2,0,train,gender x articleType,Unisex | Belts,7,7,0.42857142857142855
G2,0,train,gender x articleType,Unisex | Caps,95,83,0.9894736842105263
G2,0,train,gender x articleType,Unisex | Casual Shoes,147,139,0.9659863945578231
G2,0,train,gender x articleType,Unisex | Cushion Covers,1,1,1.0
G2,0,train,gender x articleType,Unisex | Deodorant,2,2,0.0
G2,0,train,gender x articleType,Unisex | Duffel Bag,54,41,1.0
G2,0,train,gender x articleType,Unisex | Flip Flops,101,91,0.9900990099009901
G2,0,train,gender x articleType,Unisex | Footballs,5,5,1.0
G2,0,train,gender x articleType,Unisex | Fragrance Gift Set,1,1,1.0
G2,0,train,gender x articleType,Unisex | Free Gifts,1,1,1.0
G2,0,train,gender x articleType,Unisex | Handbags,42,38,0.9761904761904762
G2,0,train,gender x articleType,Unisex | Hat,2,2,1.0
G2,0,train,gender x articleType,Unisex | Headband,4,4,1.0
G2,0,train,gender x articleType,Unisex | Jackets,1,1,1.0
G2,0,train,gender x articleType,Unisex | Key chain,1,1,1.0
G2,0,train,gender x articleType,Unisex | Laptop Bag,35,23,0.9428571428571428
G2,0,train,gender x articleType,Unisex | Messenger Bag,21,20,1.0
G2,0,train,gender x articleType,Unisex | Mobile Pouch,4,3,1.0
G2,0,train,gender x articleType,Unisex | Mufflers,1,1,1.0
G2,0,train,gender x articleType,Unisex | Perfume and Body Mist,5,4,1.0
G2,0,train,gender x articleType,Unisex | Rain Jacket,1,1,1.0
G2,0,train,gender x articleType,Unisex | Rucksacks,8,8,1.0
G2,0,train,gender x articleType,Unisex | Sandals,63,57,1.0
G2,0,train,gender x articleType,Unisex | Scarves,4,4,1.0
G2,0,train,gender x articleType,Unisex | Shoe Accessories,14,12,1.0
G2,0,train,gender x articleType,Unisex | Shoe Laces,1,1,1.0
G2,0,train,gender x articleType,Unisex | Socks,47,33,0.9361702127659575
G2,0,train,gender x articleType,Unisex | Sports Shoes,30,30,0.7333333333333333
G2,0,train,gender x articleType,Unisex | Sunglasses,95,64,0.9894736842105263
G2,0,train,gender x articleType,Unisex | Sweatshirts,1,1,0.0
G2,0,train,gender x articleType,Unisex | Swimwear,4,4,1.0
G2,0,train,gender x articleType,Unisex | Tablet Sleeve,1,1,0.0
G2,0,train,gender x articleType,Unisex | Track Pants,1,1,0.0
G2,0,train,gender x articleType,Unisex | Travel Accessory,6,6,1.0
G2,0,train,gender x articleType,Unisex | Trolley Bag,3,2,1.0
G2,0,train,gender x articleType,Unisex | Tshirts,48,37,0.9791666666666666
G2,0,train,gender x articleType,Unisex | Waist Pouch,11,11,1.0
G2,0,train,gender x articleType,Unisex | Wallets,15,11,0.6666666666666666
G2,0,train,gender x articleType,Unisex | Watches,88,75,0.9204545454545454
G2,0,train,gender x articleType,Unisex | Water Bottle,6,6,1.0
G2,0,train,gender x articleType,Unisex | Wristbands,4,4,1.0
G2,0,train,gender x articleType,Women | Baby Dolls,2,2,1.0
G2,0,train,gender x articleType,Women | Backpacks,27,23,0.9629629629629629
G2,0,train,gender x articleType,Women | Bangle,18,15,1.0
G2,0,train,gender x articleType,Women | Belts,176,129,1.0
G2,0,train,gender x articleType,Women | Blazers,1,1,1.0
G2,0,train,gender x articleType,Women | Bra,202,157,1.0
G2,0,train,gender x articleType,Women | Bracelet,28,15,1.0
G2,0,train,gender x articleType,Women | Briefs,107,73,1.0
G2,0,train,gender x articleType,Women | Camisoles,10,10,1.0
G2,0,train,gender x articleType,Women | Capris,80,67,0.9875
G2,0,train,gender x articleType,Women | Caps,16,16,1.0
G2,0,train,gender x articleType,Women | Casual Shoes,215,188,0.9953488372093023
G2,0,train,gender x articleType,Women | Churidar,14,13,1.0
G2,0,train,gender x articleType,Women | Clutches,152,124,1.0
G2,0,train,gender x articleType,Women | Compact,4,1,1.0
G2,0,train,gender x articleType,Women | Concealer,2,1,1.0
G2,0,train,gender x articleType,Women | Deodorant,73,67,0.958904109589041
G2,0,train,gender x articleType,Women | Dresses,190,156,1.0
G2,0,train,gender x articleType,Women | Duffel Bag,4,4,1.0
G2,0,train,gender x articleType,Women | Dupatta,80,58,1.0
G2,0,train,gender x articleType,Women | Earrings,125,31,1.0
G2,0,train,gender x articleType,Women | Eyeshadow,2,2,1.0
G2,0,train,gender x articleType,Women | Flats,287,185,1.0
G2,0,train,gender x articleType,Women | Flip Flops,146,100,1.0
G2,0,train,gender x articleType,Women | Foundation and Primer,7,4,1.0
G2,0,train,gender x articleType,Women | Fragrance Gift Set,17,17,1.0
G2,0,train,gender x articleType,Women | Free Gifts,19,15,1.0
G2,0,train,gender x articleType,Women | Handbags,935,596,1.0
G2,0,train,gender x articleType,Women | Heels,710,379,0.9985915492957746
G2,0,train,gender x articleType,Women | Highlighter and Blush,4,1,1.0
G2,0,train,gender x articleType,Women | Innerwear Vests,1,1,1.0
G2,0,train,gender x articleType,Women | Ipad,1,1,1.0
G2,0,train,gender x articleType,Women | Jackets,32,28,1.0
G2,0,train,gender x articleType,Women | Jeans,138,72,1.0
G2,0,train,gender x articleType,Women | Jeggings,18,11,1.0
G2,0,train,gender x articleType,Women | Jewellery Set,32,12,1.0
G2,0,train,gender x articleType,Women | Jumpsuit,8,8,1.0
G2,0,train,gender x articleType,Women | Kajal and Eyeliner,8,7,1.0
G2,0,train,gender x articleType,Women | Kurta Sets,49,45,1.0
G2,0,train,gender x articleType,Women | Kurtas,1009,522,1.0
G2,0,train,gender x articleType,Women | Kurtis,137,106,1.0
G2,0,train,gender x articleType,Women | Laptop Bag,8,8,1.0
G2,0,train,gender x articleType,Women | Leggings,91,81,1.0
G2,0,train,gender x articleType,Women | Lip Gloss,4,4,1.0
G2,0,train,gender x articleType,Women | Lip Liner,9,6,1.0
G2,0,train,gender x articleType,Women | Lip Plumper,2,2,1.0
G2,0,train,gender x articleType,Women | Lipstick,10,2,1.0
G2,0,train,gender x articleType,Women | Lounge Pants,14,13,1.0
G2,0,train,gender x articleType,Women | Lounge Shorts,7,6,1.0
G2,0,train,gender x articleType,Women | Lounge Tshirts,1,1,1.0
G2,0,train,gender x articleType,Women | Mobile Pouch,28,28,1.0
G2,0,train,gender x articleType,Women | Mufflers,3,2,1.0
G2,0,train,gender x articleType,Women | Nail Polish,12,11,1.0
G2,0,train,gender x articleType,Women | Necklace and Chains,43,29,1.0
G2,0,train,gender x articleType,Women | Night suits,38,20,1.0
G2,0,train,gender x articleType,Women | Nightdress,27,21,1.0
G2,0,train,gender x articleType,Women | Patiala,19,16,1.0
G2,0,train,gender x articleType,Women | Pendant,100,7,1.0
G2,0,train,gender x articleType,Women | Perfume and Body Mist,162,137,0.9938271604938271
G2,0,train,gender x articleType,Women | Ring,54,3,1.0
G2,0,train,gender x articleType,Women | Robe,2,2,1.0
G2,0,train,gender x articleType,Women | Salwar,19,16,1.0
G2,0,train,gender x articleType,Women | Salwar and Dupatta,5,5,1.0
G2,0,train,gender x articleType,Women | Sandals,1,1,1.0
G2,0,train,gender x articleType,Women | Sarees,104,84,1.0
G2,0,train,gender x articleType,Women | Scarves,44,35,1.0
G2,0,train,gender x articleType,Women | Shapewear,2,2,1.0
G2,0,train,gender x articleType,Women | Shirts,186,160,1.0
G2,0,train,gender x articleType,Women | Shorts,44,41,1.0
G2,0,train,gender x articleType,Women | Shrug,2,2,1.0
G2,0,train,gender x articleType,Women | Skirts,64,57,1.0
G2,0,train,gender x articleType,Women | Socks,54,44,1.0
G2,0,train,gender x articleType,Women | Sports Sandals,26,26,1.0
G2,0,train,gender x articleType,Women | Sports Shoes,263,247,1.0
G2,0,train,gender x articleType,Women | Stockings,14,9,1.0
G2,0,train,gender x articleType,Women | Stoles,62,41,1.0
G2,0,train,gender x articleType,Women | Sunglasses,204,113,1.0
G2,0,train,gender x articleType,Women | Sweaters,54,48,1.0
G2,0,train,gender x articleType,Women | Sweatshirts,40,38,1.0
G2,0,train,gender x articleType,Women | Swimwear,8,8,1.0
G2,0,train,gender x articleType,Women | Tablet Sleeve,1,1,1.0
G2,0,train,gender x articleType,Women | Tights,5,4,1.0
G2,0,train,gender x articleType,Women | Tops,940,692,0.9989361702127659
G2,0,train,gender x articleType,Women | Track Pants,58,53,1.0
G2,0,train,gender x articleType,Women | Travel Accessory,3,3,1.0
G2,0,train,gender x articleType,Women | Trousers,66,53,1.0
G2,0,train,gender x articleType,Women | Tshirts,682,608,1.0
G2,0,train,gender x articleType,Women | Tunics,119,105,1.0
G2,0,train,gender x articleType,Women | Umbrellas,4,3,1.0
G2,0,train,gender x articleType,Women | Waistcoat,2,2,1.0
G2,0,train,gender x articleType,Women | Wallets,273,201,0.9853479853479854
G2,0,train,gender x articleType,Women | Watches,553,404,0.9981916817359855
G2,0,train,gender x family_size_bin,Boys | 1,219,219,0.9863013698630136
G2,0,train,gender x family_size_bin,Boys | 2-3,193,81,0.9948186528497409
G2,0,train,gender x family_size_bin,Boys | 4+,136,18,1.0
G2,0,train,gender x family_size_bin,Girls | 1,178,178,0.9831460674157303
G2,0,train,gender x family_size_bin,Girls | 2-3,174,74,1.0
G2,0,train,gender x family_size_bin,Girls | 4+,84,14,1.0
G2,0,train,gender x family_size_bin,Men | 1,8217,8217,0.9990264086649628
G2,0,train,gender x family_size_bin,Men | 2-3,2683,1205,0.9996272828922848
G2,0,train,gender x family_size_bin,Men | 4+,3303,461,0.9981834695731153
G2,0,train,gender x family_size_bin,Unisex | 1,1018,1018,0.9597249508840865
G2,0,train,gender x family_size_bin,Unisex | 2-3,199,91,0.9849246231155779
G2,0,train,gender x family_size_bin,Unisex | 4+,194,32,0.9948453608247423
G2,0,train,gender x family_size_bin,Women | 1,5618,5618,0.9985760056959773
G2,0,train,gender x family_size_bin,Women | 2-3,1771,790,0.9983060417843026
G2,0,train,gender x family_size_bin,Women | 4+,2233,326,0.9986565158978952
G2,0,validation,gender,Boys,136,79,0.6470588235294118
G2,0,validation,gender,Girls,107,70,0.6542056074766355
G2,0,validation,gender,Men,3550,2462,0.952112676056338
G2,0,validation,gender,Unisex,355,287,0.523943661971831
G2,0,validation,gender,Women,2405,1667,0.9114345114345115
G2,0,validation,articleType,Accessory Gift Set,17,7,1.0
G2,0,validation,articleType,Backpacks,119,85,0.7647058823529411
G2,0,validation,articleType,Bangle,18,1,1.0
G2,0,validation,articleType,Basketballs,3,3,1.0
G2,0,validation,articleType,Belts,134,81,0.8955223880597015
G2,0,validation,articleType,Blazers,1,1,1.0
G2,0,validation,articleType,Booties,2,1,0.0
G2,0,validation,articleType,Boxers,7,5,1.0
G2,0,validation,articleType,Bra,49,39,1.0
G2,0,validation,articleType,Bracelet,16,1,0.375
G2,0,validation,articleType,Briefs,112,78,0.9642857142857143
G2,0,validation,articleType,Camisoles,3,3,1.0
G2,0,validation,articleType,Capris,26,20,0.7692307692307693
G2,0,validation,articleType,Caps,45,41,0.6222222222222222
G2,0,validation,articleType,Casual Shoes,457,359,0.862144420131291
G2,0,validation,articleType,Churidar,5,5,1.0
G2,0,validation,articleType,Clothing Set,1,1,1.0
G2,0,validation,articleType,Clutches,37,30,0.8918918918918919
G2,0,validation,articleType,Cufflinks,13,1,1.0
G2,0,validation,articleType,Deodorant,49,44,0.8367346938775511
G2,0,validation,articleType,Dresses,57,43,0.9122807017543859
G2,0,validation,articleType,Duffel Bag,14,11,0.5
G2,0,validation,articleType,Dupatta,19,15,1.0
G2,0,validation,articleType,Earrings,80,1,0.975
G2,0,validation,articleType,Eyeshadow,2,1,1.0
G2,0,validation,articleType,Flats,69,49,0.9130434782608695
G2,0,validation,articleType,Flip Flops,147,122,0.8027210884353742
G2,0,validation,articleType,Footballs,2,2,0.0
G2,0,validation,articleType,Formal Shoes,103,43,0.9902912621359223
G2,0,validation,articleType,Foundation and Primer,4,1,1.0
G2,0,validation,articleType,Fragrance Gift Set,9,9,0.7777777777777778
G2,0,validation,articleType,Free Gifts,11,6,0.9090909090909091
G2,0,validation,articleType,Gloves,4,2,0.5
G2,0,validation,articleType,Handbags,244,158,0.9467213114754098
G2,0,validation,articleType,Headband,2,2,0.0
G2,0,validation,articleType,Heels,179,92,0.9776536312849162
G2,0,validation,articleType,Innerwear Vests,40,32,0.925
G2,0,validation,articleType,Jackets,38,35,0.868421052631579
G2,0,validation,articleType,Jeans,94,44,0.8723404255319149
G2,0,validation,articleType,Jeggings,4,3,1.0
G2,0,validation,articleType,Jewellery Set,6,4,1.0
G2,0,validation,articleType,Jumpsuit,2,2,1.0
G2,0,validation,articleType,Kajal and Eyeliner,3,2,0.6666666666666666
G2,0,validation,articleType,Kurta Sets,13,12,1.0
G2,0,validation,articleType,Kurtas,263,139,0.9961977186311787
G2,0,validation,articleType,Kurtis,33,26,1.0
G2,0,validation,articleType,Laptop Bag,12,10,0.5833333333333334
G2,0,validation,articleType,Leggings,26,23,0.9230769230769231
G2,0,validation,articleType,Lip Gloss,1,1,1.0
G2,0,validation,articleType,Lip Liner,2,1,1.0
G2,0,validation,articleType,Lip Plumper,1,1,1.0
G2,0,validation,articleType,Lounge Pants,9,9,1.0
G2,0,validation,articleType,Lounge Shorts,6,5,1.0
G2,0,validation,articleType,Messenger Bag,7,7,0.5714285714285714
G2,0,validation,articleType,Mobile Pouch,8,8,0.625
G2,0,validation,articleType,Mufflers,7,5,0.7142857142857143
G2,0,validation,articleType,Nail Polish,4,4,1.0
G2,0,validation,articleType,Necklace and Chains,10,8,1.0
G2,0,validation,articleType,Night suits,11,9,0.9090909090909091
G2,0,validation,articleType,Nightdress,7,5,1.0
G2,0,validation,articleType,Patiala,4,3,1.0
G2,0,validation,articleType,Pendant,5,3,1.0
G2,0,validation,articleType,Perfume and Body Mist,95,82,0.7684210526315789
