target,model_variant,role,status,runs,folds
gender,t3_gender_name_truth_mixup_alpha020_sam005_epoch25_cv,Development candidate,complete,5,"0,1,2,3,4"
gender,t3_gender_name_truth_mixup_alpha020_sam005_epoch25_refit,Full-development refit; no OOF score,complete,1,
gender,t3_gender_name_truth_mixup_alpha040,Development candidate,complete,2,"0,4"
gender,t3_gender_narrow64,Development candidate,complete,2,"0,4"
gender,t3_gender_semantic_filter_gem_p3,Development candidate,complete,5,"0,1,2,3,4"
gender,t3_gender_tinyhrnet20,Development candidate,complete,5,"0,1,2,3,4"
gender,t3_gender_tinyresnet18_pm,Development candidate,complete,5,"0,1,2,3,4"
gender,t3_gender_translation_mild_darkening,Development candidate,complete,2,"0,4"
gender,t3_gender_v2_g1_foreground_mask,Development candidate,complete,2,"0,4"
gender,t3_gender_v2_g2_translation,Development candidate,complete,5,"0,1,2,3,4"
gender,t3_gender_v2_g3_component_weight,Development candidate,complete,2,"0,4"
gender,t3_gender_weight_decay_001,Development candidate,complete,2,"0,4"
gender,t3_primary_baseline_smallcnn,Development candidate,complete,6,"0,1,2,3,4"
gender,t3_primary_baseline_smallcnn,Incomplete attempt; no candidate score,running,2,"0,1"
usage,eda_linear_probe_border_hog,EDA probe; sampled population,complete,20,"0,1,2,3,4"
usage,eda_linear_probe_colour_summary,EDA probe; sampled population,complete,20,"0,1,2,3,4"
usage,eda_linear_probe_foreground_hog,EDA probe; sampled population,complete,5,"0,1,2,3,4"
usage,eda_linear_probe_foreground_letterbox_hog,EDA probe; sampled population,complete,15,"0,1,2,3,4"
usage,eda_linear_probe_foreground_masked_hog,EDA probe; sampled population,complete,15,"0,1,2,3,4"
usage,eda_linear_probe_full_rgb_hog,EDA probe; sampled population,complete,20,"0,1,2,3,4"
usage,eda_linear_probe_global_geometry_colour,EDA probe; sampled population,complete,15,"0,1,2,3,4"
usage,eda_linear_probe_grayscale_hog,EDA probe; sampled population,complete,20,"0,1,2,3,4"
usage,eda_linear_probe_nuisance_only,EDA probe; sampled population,complete,5,"0,1,2,3,4"
usage,eda_linear_probe_silhouette_hog,EDA probe; sampled population,complete,20,"0,1,2,3,4"
usage,t3_clean_slate_s1_usage_type_posterior,Development candidate,complete,2,"0,4"
usage,t3_clean_slate_s2_usage_micro_swin,Development candidate,complete,2,"0,4"
usage,t3_primary_baseline_smallcnn,Development candidate,complete,5,"0,1,2,3,4"
usage,t3_usage_class_balanced_smallcnn,Development candidate,complete,5,"0,1,2,3,4"
usage,t3_usage_classifier_dropout_smallcnn,Development candidate,complete,5,"0,1,2,3,4"
usage,t3_usage_e1_teacher_all_development_refit,Full-development refit; no OOF score,complete,1,
usage,t3_usage_e8_translation_teacher_all_development_refit,Full-development refit; no OOF score,complete,1,
usage,t3_usage_exception_balance_smallcnn,Development candidate,complete,5,"0,1,2,3,4"
usage,t3_usage_expanded_e8,Development candidate,complete,5,"0,1,2,3,4"
usage,t3_usage_expanded_e8,Incomplete attempt; no candidate score,running,2,"0,1"
usage,t3_usage_expanded_v2_e8,Development candidate,complete,5,"0,1,2,3,4"
usage,t3_usage_expanded_v2_mixup_sam,Development candidate,complete,2,"0,4"
usage,t3_usage_focal_gamma1_smallcnn,Development candidate,complete,5,"0,1,2,3,4"
usage,t3_usage_label_smoothing_smallcnn,Development candidate,complete,5,"0,1,2,3,4"
usage,t3_usage_replaced_v3_mixup_sam,Development candidate,complete,2,"0,4"
usage,t3_usage_tinyconvnext18,Development candidate,complete,5,"0,1,2,3,4"
usage,t3_usage_tinyresnet18_pm,Development candidate,complete,5,"0,1,2,3,4"
usage,t3_usage_translation_2px_smallcnn,Development candidate,complete,5,"0,1,2,3,4"
usage,t3_usage_u3_two_stage_cnn,Development candidate,complete,1,0
usage,t3_usage_u3_two_stage_cnn,Incomplete attempt; no candidate score,failed,1,0
usage,t3_usage_u3_two_stage_cnn,Incomplete attempt; no candidate score,running,1,4
usage,t3_usage_v2_u1_component_weight,Development candidate,complete,2,"0,4"
usage,t3_usage_v2_u2_full_rgb_hog_svm,Development candidate,complete,2,"0,4"
