review_id,role_1,id_1,role_2,id_2,decision,notes,reviewer_initials,review_date,review_method_or_tool,blind_to_metrics,independent_review,second_reviewer_initials,second_review_decision,second_review_status,disagreement_resolution,signoff_status
accepted-040,prediction,55046,prediction,55061,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-041,labelled,47567,labelled,47568,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-042,prediction,55056,prediction,55066,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-043,labelled,49111,labelled,49112,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-044,labelled,28158,labelled,28185,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-045,prediction,57593,prediction,57594,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-046,prediction,57647,prediction,57669,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-047,prediction,55058,prediction,55062,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-048,prediction,57586,prediction,57593,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-049,prediction,55054,prediction,55055,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-050,prediction,54601,prediction,54602,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-051,prediction,56523,prediction,56535,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-052,prediction,56530,prediction,56537,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-053,prediction,55058,prediction,55066,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-054,labelled,4977,labelled,4978,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-055,prediction,56508,prediction,56509,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-056,labelled,28168,labelled,28188,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-057,prediction,56524,prediction,56534,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-058,prediction,55046,prediction,55059,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-059,prediction,56484,prediction,56499,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-060,prediction,56534,prediction,56539,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-061,labelled,49093,labelled,49136,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-062,prediction,56191,prediction,56192,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-063,prediction,56526,prediction,56535,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-064,prediction,55056,prediction,55059,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-065,prediction,56532,prediction,56535,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-066,prediction,55985,prediction,55997,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-067,prediction,55110,prediction,55112,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-068,prediction,56508,prediction,56513,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-069,prediction,56548,prediction,56549,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-070,prediction,55432,prediction,55440,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-071,prediction,55432,prediction,55441,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-072,labelled,49092,labelled,49093,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-073,prediction,56159,prediction,56160,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-074,prediction,56508,prediction,56511,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-075,prediction,56529,prediction,56534,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-076,prediction,55420,prediction,55429,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-077,prediction,55431,prediction,55440,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-078,prediction,57593,prediction,57606,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-079,prediction,56524,prediction,56535,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-080,labelled,40741,labelled,40742,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-081,prediction,56522,prediction,56524,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-082,prediction,56524,prediction,56529,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-083,labelled,36428,labelled,36430,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-084,prediction,57792,prediction,57793,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-085,prediction,56476,prediction,56488,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-086,prediction,56520,prediction,56540,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-087,prediction,55504,prediction,55508,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-088,prediction,55056,prediction,55060,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-089,labelled,47585,labelled,47588,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-090,prediction,56533,prediction,56536,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-091,prediction,57740,prediction,57743,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-092,prediction,56522,prediction,56525,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-093,prediction,55994,prediction,55996,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-094,prediction,55053,prediction,55058,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-095,prediction,56520,prediction,56523,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-096,prediction,56524,prediction,56526,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-097,prediction,55045,prediction,55053,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-098,labelled,48708,prediction,59545,different,different earring shapes found by cross-role review,,,,,,,,,,pending_team_signoff
accepted-099,labelled,23723,labelled,23725,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-100,prediction,55430,prediction,55436,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-101,prediction,56525,prediction,56536,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-102,prediction,56523,prediction,56525,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-103,prediction,56521,prediction,56539,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-104,prediction,56521,prediction,56530,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-105,prediction,56525,prediction,56539,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-106,prediction,56524,prediction,56532,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-107,prediction,56522,prediction,56531,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-108,labelled,36429,labelled,36430,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-109,prediction,56525,prediction,56540,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-110,prediction,55152,prediction,55163,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-111,prediction,56533,prediction,56540,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-112,prediction,56122,prediction,56123,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-113,prediction,55263,prediction,55265,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-114,prediction,55049,prediction,55065,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-115,prediction,55058,prediction,55060,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-116,prediction,55430,prediction,55431,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-117,prediction,56524,prediction,56540,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-118,prediction,56520,prediction,56530,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-119,prediction,55055,prediction,55065,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
accepted-120,prediction,55974,prediction,55996,same_or_variant,visual match under frozen rule,,,,,,,,,,pending_team_signoff
